marker_index,user_id,comment_id,category_id,category_en,lon,lat,marker_text,text_len,num_likes,liker_ids
57,17967,20330,3,Missing bike path,-73.56347008794127,45.53427044540325,Il faut prolonger la piste sur Fullum,37,17,49905;48965;51266;48401;49600;51359;51377;48033;49147;51441;49549;50381;19019;51050;53286;50468;53282
58,17967,20334,2,Bike path needing improvement or adjustment,-73.65958007111352,45.541993735585095,"Ce lien cyclable est une amélioration pour la sécurité des cyclistes et piétons, mais il faudrait le sécuriser avec des blocs de bétons pour empêcher le stationnement sauvage.",175,6,48161;49046;51050;50869;17704;54610
59,17967,20336,2,Bike path needing improvement or adjustment,-73.66090299623652,45.53909044351977,"Bon lien vélo ajouté, mais il faudrait le sécuriser en ajoutant des séparations physiques avec la voie automobile.",114,7,50117;19019;51499;50569;51691;25094;51050
60,17967,20535,3,Missing bike path,-73.55165458119036,45.50799836346087,"Il est temps de revoir complètement l'aménagement de la rue de la commune entre Berri et Saint-Laurent. Ajouter piste cyclable qui s'intègre bien avec le territoire patrimonial avec la bonne matérialité (granit taillé et lisse), verdissement. S'Assurer d'une bonne connexion avec la piste sur Berri. Le plus important est de rendre la commune piétonne (avec accès livraisons et riverains). Le tout doit être fait dans un plan cohérent pour tout le Vieux-Montréal",462,21,46655;49600;51424;49072;49046;23025;50381;19019;51689;18309;51777;51852;20035;51858;51966;49530;52288;51050;53347;53651;53901
61,17967,20547,2,Bike path needing improvement or adjustment,-73.55735228435981,45.5002111723567,La piste direction Sud est souvent utilisée en stationnement auto. Il faut la protéger avec des blocs de granit qui s'intègrent bien avec ceux du trottoir (granit lisse et arrondi).,181,12,49980;23079;48301;49215;51327;46655;49850;51398;51658;52315;51050;54282
62,17967,28397,1,Appreciated bike path,-73.61527357752887,45.50882713110002,"Lien cyclable apprécié dans cette rue calme, par contre il arrive souvent que des camions de livraisons s'y stationnent, envoyant les cyclistes à contre-sens des autos sur la voie automobile.",191,0,
63,17967,28398,3,Missing bike path,-73.61259555529892,45.54169085116851,"Le lien est-ouest sur Jean-Talon doit être cyclable au complet, dans les 2 directions. Il n'est pas normal d'avoir la direction ouest sur Jean-Talon et l'est sur Bélanger, le detour total de plus de 600 mètres (300x2) ferait que les cyclistes vont soit continuer sur Jean-Talon et se mettre à risque ou encore ne pas utiliser le vélo.",334,3,54321;54366;54375
64,17968,19210,2,Bike path needing improvement or adjustment,-73.57010263840897,45.51116437340045,St Urbain est très dangereux,28,16,46655;49185;51050;50039;51098;48301;51352;51024;19019;52066;52098;52210;53391;54375;53225;55087
65,17968,19221,2,Bike path needing improvement or adjustment,-73.54886804798612,45.538712127207674,"Ici, elle n'est jamais déneigé",30,1,51050
66,17968,19225,2,Bike path needing improvement or adjustment,-73.5463810331912,45.54075925289635,"Jamais déneigée, trop de circulation de transit.",48,4,51083;51894;48755;51050
67,17968,19227,3,Missing bike path,-73.54948733909292,45.54242768052666,"Manque d'axe nord-sud pour relier MHM à RPP, Peut très bien accueillir une piste vers le nord.",94,12,51083;18316;48033;49044;51489;49394;51894;52075;51050;24078;53393;54705
68,17968,19230,3,Missing bike path,-73.54422704928785,45.545952789518594,"Il y a toujours beacoup de cyclists qui vont aux commerces sur ontario, et il y a tujours des automobilistes qui font les dépassemeents dangereux.",146,10,51083;49394;49772;49044;51853;51894;51973;52075;51050;54840
69,17968,19232,2,Bike path needing improvement or adjustment,-73.54374399882728,45.54696030845503,zone priorité piétonne non respecté,35,5,51083;49394;51319;51973;51050
70,17968,19246,3,Missing bike path,-73.55044605751935,45.56404211827265,"Très large, vitesse excessive des auto, lien manquant pour relier les axes.",75,11,20655;18756;48301;49090;49044;48929;48655;52052;19019;51050;52391
71,17968,19248,3,Missing bike path,-73.52942864341213,45.58387749007906,"Très large, vitesse excessives des autos, il faut ajouter un lien cyclable.",75,23,51003;43376;20655;18756;48647;18309;48345;51412;49044;50670;19880;51863;51845;51894;51961;52065;51050;53955;19647;53998;48198;54301;19128
72,17968,19252,3,Missing bike path,-73.53593416056061,45.57309077331987,"Rue très dangereux, ça serait plus sécuritaire pour les enfants et les piétons en général d'avoir une piste cyclable ici.",121,31,42332;51003;18294;18756;48647;48673;18309;17968;48345;50697;48415;51412;49044;19880;51817;51894;51961;52065;19019;52141;52112;23810;51050;53265;45256;54120;48198;54301;54720;23051;19128
73,17968,19255,3,Missing bike path,-73.58058114139679,45.58310792778937,"axe large et vitesse excessive, souvent presque pas d'auto, il faut une piste cyclable sur Lacordaire.",102,16,48867;18415;18275;18277;17968;50697;48301;18475;50670;19880;51961;19019;51050;53326;23138;18309
74,17968,19259,2,Bike path needing improvement or adjustment,-73.5381826800882,45.54087582093101,"très dangereux, pas allumé la nuit",34,16,48553;48647;48301;50348;49772;49090;49147;49653;48843;51661;51894;52101;51050;52318;53893;50140
75,17968,19262,2,Bike path needing improvement or adjustment,-73.55444801458313,45.55783402160117,une montagne russe,18,20,48647;49509;48673;51083;48301;50697;18316;49600;49090;48929;51398;48655;51961;48755;19019;51050;52391;54073;54260;55187
